CustomerID,Lookalikes
C0001,"[('C0011', 0.8491224501008093), ('C0017', 0.7602917751753503), ('C0016', 0.7530818714995277)]"
C0002,"[('C0010', 0.9713237054680697), ('C0014', 0.9320653778278376), ('C0009', 0.9257599542222392)]"
C0003,"[('C0001', 0.5407593502373786), ('C0011', 0.46170588018529085), ('C0017', 0.34665541800614186)]"
C0004,"[('C0012', 0.9330312468999934), ('C0017', 0.8827990857108238), ('C0013', 0.8739709093231504)]"
C0005,"[('C0015', 0.9554061142758673), ('C0020', 0.9422688668334677), ('C0014', 0.8664848187340024)]"
C0006,"[('C0018', 0.8322272381418874), ('C0016', 0.7975726010973848), ('C0011', 0.76908953567051)]"
C0007,"[('C0020', 0.9445286815992208), ('C0005', 0.8138116756805643), ('C0015', 0.6272918268290579)]"
C0008,"[('C0017', 0.9403325504547415), ('C0004', 0.8020124656960341), ('C0001', 0.6479746929171047)]"
C0009,"[('C0014', 0.9301660158552725), ('C0002', 0.9257599542222392), ('C0015', 0.8650907994574483)]"
C0010,"[('C0002', 0.9713237054680697), ('C0014', 0.8394855719782587), ('C0009', 0.8358353029248006)]"
C0011,"[('C0018', 0.8619990086258121), ('C0016', 0.8557337384864082), ('C0001', 0.8491224501008093)]"
C0012,"[('C0013', 0.9601950955943649), ('C0004', 0.9330312468999934), ('C0018', 0.8470609360533295)]"
C0013,"[('C0012', 0.9601950955943649), ('C0004', 0.8739709093231504), ('C0018', 0.8703228084544475)]"
C0014,"[('C0002', 0.9320653778278376), ('C0009', 0.9301660158552725), ('C0015', 0.9269324437352173)]"
C0015,"[('C0005', 0.9554061142758673), ('C0014', 0.9269324437352173), ('C0009', 0.8650907994574483)]"
C0016,"[('C0011', 0.8557337384864082), ('C0006', 0.7975726010973848), ('C0001', 0.7530818714995277)]"
C0017,"[('C0008', 0.9403325504547415), ('C0004', 0.8827990857108238), ('C0012', 0.8188767925161826)]"
C0018,"[('C0013', 0.8703228084544475), ('C0011', 0.8619990086258121), ('C0012', 0.8470609360533295)]"
C0019,"[('C0010', 0.8244919607569718), ('C0002', 0.8031394619845964), ('C0009', 0.6867155912991781)]"
C0020,"[('C0007', 0.9445286815992208), ('C0005', 0.9422688668334677), ('C0015', 0.8070882721143339)]"
